num,date,air_pressure,high_tem,aver_tem,low_tem,humidity,sunlight_time,wind_direction,wind_speed,rain_accum
21,2021-11-21,1014.3,25.1,22.8,21.8,87,2.5,90,9,0
22,2021-11-22,1017.7,22,17.9,15.4,80,0,360,18,0.2
23,2021-11-23,1021.7,16.2,15,13.8,65,0,360,21,0
24,2021-11-24,1020.8,21.6,17.6,15,58,7.5,360,13,0
25,2021-11-25,1018.6,23.6,19.3,16,58,7.5,360,11,0.1
26,2021-11-26,1018.8,24.4,20.2,16.7,57,9.5,360,12,0
27,2021-11-27,1020.4,24,20.3,17.3,61,8.7,22.5,12,0
28,2021-11-28,1019.9,24.6,20.5,17.5,68,9.5,22.5,12,0
29,2021-11-29,1017.8,25.8,21.3,18,62,9.4,22.5,13,0
30,2021-11-30,1019,24,20.1,16.5,60,9.3,360,20,0
